time,heartrate,watts,temperature,interval
2866,158,116,varm,NA
2867,157,117,varm,NA
2868,155,117,varm,NA
2869,155,117,varm,NA
2870,155,116,varm,NA
2871,156,116,varm,NA
2872,157,115,varm,NA
2873,158,120,varm,NA
2874,158,118,varm,NA
2875,158,37,varm,NA
2876,158,123,varm,NA
2877,160,123,varm,NA
2878,160,121,varm,NA
2879,160,122,varm,NA
2880,158,126,varm,NA
2881,157,167,varm,6
2882,155,225,varm,6
2883,155,291,varm,6
2884,154,265,varm,6
2885,154,269,varm,6
2886,154,269,varm,6
2887,154,290,varm,6
2888,154,282,varm,6
2889,155,249,varm,6
2890,155,248,varm,6
2891,154,235,varm,6
2892,154,225,varm,6
2893,154,225,varm,6
2894,155,229,varm,6
2895,154,270,varm,6
2896,154,263,varm,6
2897,155,247,varm,6
2898,155,238,varm,6
2899,155,222,varm,6
2900,156,228,varm,6
2901,157,229,varm,6
2902,157,235,varm,6
2903,157,244,varm,6
2904,158,249,varm,6
2905,158,251,varm,6
2906,158,240,varm,6
2907,158,233,varm,6
2908,159,240,varm,6
2909,160,233,varm,6
2910,160,236,varm,6
2911,160,242,varm,6
2912,160,244,varm,6
2913,161,237,varm,6
2914,161,249,varm,6
2915,161,259,varm,6
2916,161,260,varm,6
2917,162,248,varm,6
2918,162,235,varm,6
2919,163,245,varm,6
2920,164,249,varm,6
2921,164,259,varm,6
2922,165,248,varm,6
2923,165,243,varm,6
2924,165,236,varm,6
2925,166,248,varm,6
2926,166,238,varm,6
2927,167,241,varm,6
2928,167,250,varm,6
2929,167,251,varm,6
2930,168,243,varm,6
2931,169,244,varm,6
2932,169,248,varm,6
2933,170,257,varm,6
2934,171,260,varm,6
2935,171,252,varm,6
2936,171,245,varm,6
2937,172,241,varm,6
2938,172,241,varm,6
2939,172,252,varm,6
2940,172,252,varm,6
2941,173,251,varm,6
2942,173,255,varm,6
2943,173,252,varm,6
2944,173,259,varm,6
2945,173,256,varm,6
2946,174,245,varm,6
2947,175,244,varm,6
2948,174,242,varm,6
2949,175,240,varm,6
2950,175,235,varm,6
2951,175,235,varm,6
2952,175,244,varm,6
2953,175,245,varm,6
2954,175,243,varm,6
2955,175,252,varm,6
2956,175,237,varm,6
2957,175,221,varm,6
2958,175,240,varm,6
2959,175,253,varm,6
2960,175,262,varm,6
2961,175,246,varm,6
2962,175,234,varm,6
2963,175,231,varm,6
